ts,실시간 임시 가격(원/kWh),실시간 확정 가격(원/kWh)
1729962900,76.21,76.21
1729963800,76.21,76.21
1729964700,76.21,76.21
1729965600,76.21,76.21
1729966500,76.21,76.21
1729967400,76.21,76.21
1729968300,76.21,76.21
1729969200,76.21,76.21
1729970100,76.21,76.21
1729971000,76.21,76.21
1729971900,76.21,76.21
1729972800,76.21,76.21
1729973700,76.21,76.21
1729974600,76.21,76.21
1729975500,76.21,76.21
1729976400,76.21,76.21
1729977300,77.04,77.04
1729978200,77.04,77.04
1729979100,77.04,77.04
1729980000,77.04,77.04
1729980900,160.36,159.61
1729981800,160.17,159.43
1729982700,155.0,156.7
1729983600,159.03,158.54
1729984500,158.13,157.65
1729985400,94.15,94.15
1729986300,160.37,159.72
1729987200,210.12,210.12
1729988100,209.43,209.43
1729989000,209.55,209.55
1729989900,216.99,216.99
1729990800,216.99,216.99
1729991700,219.19,219.19
1729992600,158.27,160.32
1729993500,214.26,214.26
1729994400,158.23,160.32
1729995300,157.14,159.11
1729996200,117.34,117.34
1729997100,117.34,117.34
1729998000,117.34,117.34
1729998900,156.99,159.08
1729999800,157.0,159.08
1730000700,158.83,159.08
1730001600,157.2,157.42
1730002500,103.31,103.31
1730003400,103.31,103.31
1730004300,157.41,157.65
1730005200,103.31,103.31
1730006100,101.01,101.01
1730007000,101.01,101.01
1730007900,101.01,101.01
1730008800,101.01,101.01
1730009700,101.07,101.07
1730010600,101.07,101.07
1730011500,101.07,101.07
1730012400,101.07,101.07
1730013300,101.12,101.12
1730014200,101.12,101.12
1730015100,101.12,101.12
1730016000,101.12,101.12
1730016900,101.14,101.14
1730017800,101.14,101.14
1730018700,157.88,158.14
1730019600,158.4,158.95
1730020500,101.14,101.14
1730021400,101.14,101.14
1730022300,101.14,101.14
1730023200,101.14,101.14
1730024100,101.14,101.14
1730025000,101.14,101.14
1730025900,101.14,101.14
1730026800,101.14,101.14
1730027700,98.47,98.47
1730028600,155.14,156.11
1730029500,98.47,98.47
1730030400,98.47,98.47
1730031300,94.15,94.15
1730032200,94.15,94.15
1730033100,94.15,94.15
1730034000,94.15,94.15
1730034900,93.92,93.92
1730035800,93.92,93.92
1730036700,93.92,93.92
1730037600,93.92,93.92
1730038500,83.19,83.19
1730039400,83.19,83.19
1730040300,83.19,83.19
1730041200,83.19,83.19
1730042100,75.66,75.66
1730043000,75.66,75.66
1730043900,75.66,75.66
1730044800,75.66,75.66
1730045700,152.28,154.02
1730046600,151.84,153.65
1730047500,151.56,153.46
1730048400,75.64,75.64
1730049300,75.64,75.64
1730050200,75.64,75.64
1730051100,75.64,75.64
1730052000,75.64,75.64
1730052900,75.64,75.64
1730053800,75.64,75.64
1730054700,75.64,75.64
1730055600,75.64,75.64
1730056500,76.87,76.87
1730057400,76.87,76.87
1730058300,76.87,76.87
1730059200,76.87,76.87
1730060100,-48.0,-48.0
1730061000,-0.08,-0.08
1730061900,-0.08,-0.08
1730062800,-0.08,-0.08
1730063700,-0.43,-0.43
1730064600,-0.43,-0.43
1730065500,92.8,92.8
1730066400,92.8,92.8
1730067300,-78.74,-78.74
1730068200,-78.74,-78.74
1730069100,-0.01,-0.01
1730070000,0.0,0.0
1730070900,139.32,139.32
1730071800,139.32,139.32
1730072700,139.32,139.32
1730073600,0.0,0.0
1730074500,0.0,0.0
1730075400,-48.0,-48.0
1730076300,-78.74,-78.74
1730077200,-78.74,-78.74
1730078100,-78.74,-78.74
1730079000,-78.74,-78.74
1730079900,-78.74,-78.74
1730080800,-78.74,-78.74
1730081700,-78.74,-78.74
1730082600,0.0,0.0
1730083500,0.0,0.0
1730084400,0.0,0.0
1730085300,0.0,0.0
1730086200,-48.0,-48.0
1730087100,0.0,0.0
1730088000,0.0,0.0
1730088900,0.0,0.0
1730089800,0.0,0.0
1730090700,0.0,0.0
1730091600,0.0,0.0
1730092500,155.57,155.57
1730093400,155.57,155.57
1730094300,0.0,0.0
1730095200,155.57,155.57
1730096100,139.32,139.32
1730097000,139.32,139.32
1730097900,139.32,139.32
1730098800,139.32,139.32
1730099700,137.77,137.77
1730100600,137.77,137.77
1730101500,137.77,137.77
1730102400,155.9,156.2
1730103300,155.96,156.27
1730104200,156.66,157.12
1730105100,156.65,157.12
1730106000,156.63,157.12
1730106900,156.17,156.66
1730107800,156.31,156.66
1730108700,156.4,156.66
1730109600,154.29,156.66
1730110500,154.51,156.79
1730111400,154.51,156.79
1730112300,154.76,156.79
1730113200,156.87,156.79
1730114100,157.43,157.39
1730115000,157.54,157.39
1730115900,157.47,157.2
1730116800,156.96,156.79
1730117700,156.96,156.79
1730118600,157.38,157.39
1730119500,157.13,157.24
1730120400,156.67,156.79
1730121300,152.19,152.72
1730122200,152.81,154.63
1730123100,152.69,152.69
1730124000,116.6,116.6
1730124900,103.96,103.96
1730125800,103.96,103.96
1730126700,103.96,103.96
1730127600,103.96,103.96
1730128500,107.71,107.71
1730129400,195.5,195.5
1730130300,107.71,107.71
1730131200,107.71,107.71
1730132100,92.37,92.37
1730133000,92.37,92.37
1730133900,92.37,92.37
1730134800,92.37,92.37
1730135700,92.33,92.33
1730136600,92.33,92.33
1730137500,92.33,92.33
1730138400,92.33,92.33
1730139300,92.07,92.07
1730140200,92.07,92.07
1730141100,-0.7,-0.7
1730142000,-0.7,-0.7
1730142900,92.27,92.27
1730143800,92.27,92.27
1730144700,92.27,92.27
1730145600,92.27,92.27
1730146500,92.37,92.37
1730147400,92.37,92.37
1730148300,92.37,92.37
1730149200,92.37,92.37
1730150100,113.39,113.39
1730151000,113.39,113.39
1730151900,113.39,113.39
1730152800,205.04,205.04
1730153700,210.05,210.05
1730154600,214.43,214.43
1730155500,117.8,117.8
1730156400,117.8,117.8
1730157300,139.29,139.29
1730158200,139.29,139.29
1730159100,139.29,139.29
1730160000,139.29,139.29
1730160900,139.33,139.33
1730161800,139.33,139.33
1730162700,139.33,139.33
1730163600,139.33,139.33
1730164500,156.1,155.48
1730165400,156.11,155.48
1730166300,156.09,155.48
1730167200,156.04,155.48
1730168100,138.92,138.92
1730169000,138.92,138.92
1730169900,138.92,138.92
1730170800,138.92,138.92
1730171700,138.71,138.71
1730172600,-48.0,-48.0
1730173500,0.0,0.0
1730174400,0.0,0.0
1730175300,138.9,138.9
1730176200,138.9,138.9
1730177100,154.26,154.15
1730178000,154.76,155.13
1730178900,154.51,154.27
1730179800,154.51,154.27
1730180700,154.5,154.27
1730181600,155.71,155.24
1730182500,155.62,155.24
1730183400,155.66,155.24
1730184300,155.7,155.24
1730185200,155.79,155.24
1730186100,138.93,138.93
1730187000,156.36,155.97
1730187900,156.17,155.91
1730188800,156.03,155.91
1730189700,156.29,156.29
1730190600,156.18,156.29
1730191500,156.08,156.29
1730192400,155.99,156.29
1730193300,156.07,156.45
1730194200,155.99,156.45
1730195100,155.92,156.45
1730196000,155.8,156.45
1730196900,133.7,133.7
1730197800,133.7,133.7
1730198700,133.7,133.7
1730199600,133.7,133.7
1730200500,133.8,133.8
1730201400,133.8,133.8
1730202300,133.8,133.8
1730203200,133.8,133.8
1730204100,139.26,139.26
1730205000,139.26,139.26
1730205900,139.26,139.26
1730206800,139.26,139.26
1730207700,116.36,116.36
1730208600,116.36,116.36
1730209500,116.36,116.36
1730210400,116.36,116.36
1730211300,116.51,116.51
1730212200,116.51,116.51
1730213100,116.51,116.51
1730214000,116.51,116.51
1730214900,101.81,101.81
1730215800,101.81,101.81
1730216700,101.81,101.81
1730217600,101.81,101.81
1730218500,76.9,76.9
1730219400,76.9,76.9
1730220300,76.9,76.9
1730221200,76.9,76.9
1730222100,77.3,77.3
1730223000,77.3,77.3
1730223900,77.3,77.3
1730224800,77.3,77.3
1730225700,78.08,78.08
1730226600,78.08,78.08
1730227500,78.08,78.08
1730228400,78.08,78.08
1730229300,99.38,99.38
1730230200,99.38,99.38
1730231100,99.38,99.38
1730232000,99.38,99.38
1730232900,87.14,87.14
1730233800,87.14,87.14
1730234700,87.14,87.14
1730235600,87.14,87.14
1730236500,100.42,100.42
1730237400,100.42,100.42
1730238300,100.42,100.42
1730239200,100.42,100.42
1730240100,109.13,109.13
1730241000,109.13,109.13
1730241900,109.13,109.13
1730242800,109.13,109.13
1730243700,139.31,139.31
1730244600,139.31,139.31
1730245500,139.31,139.31
1730246400,139.31,139.31
1730247300,117.02,117.02
1730248200,117.02,117.02
1730249100,117.02,117.02
1730250000,117.02,117.02
1730250900,116.97,116.97
1730251800,116.97,116.97
1730252700,116.97,116.97
1730253600,116.97,116.97
1730254500,109.93,109.93
1730255400,109.93,109.93
1730256300,109.93,109.93
1730257200,109.93,109.93
1730258100,100.4,100.4
1730259000,100.4,100.4
1730259900,100.4,100.4
1730260800,100.4,100.4
1730261700,100.58,100.58
1730262600,100.58,100.58
1730263500,100.58,100.58
1730264400,100.58,100.58
1730265300,110.68,110.68
1730266200,110.68,110.68
1730267100,110.68,110.68
1730268000,110.68,110.68
1730268900,109.06,109.06
1730269800,109.06,109.06
1730270700,109.06,109.06
1730271600,109.06,109.06
1730272500,116.86,116.86
1730273400,116.86,116.86
1730274300,116.86,116.86
1730275200,116.86,116.86
1730276100,117.02,117.02
1730277000,117.02,117.02
1730277900,117.02,117.02
1730278800,117.02,117.02
1730279700,117.12,117.12
1730280600,117.12,117.12
1730281500,117.12,117.12
1730282400,117.12,117.12
1730283300,116.32,116.32
1730284200,116.32,116.32
1730285100,116.32,116.32
1730286000,116.32,116.32
1730286900,117.33,117.33
1730287800,117.33,117.33
1730288700,117.33,117.33
1730289600,117.33,117.33
1730290500,100.89,100.89
1730291400,100.89,100.89
1730292300,100.89,100.89
1730293200,100.89,100.89
1730294100,116.03,116.03
1730295000,116.03,116.03
1730295900,116.03,116.03
1730296800,116.03,116.03
1730297700,111.96,111.96
1730298600,111.96,111.96
1730299500,111.96,111.96
1730300400,111.96,111.96
1730301300,100.68,100.68
1730302200,100.68,100.68
1730303100,100.68,100.68
1730304000,100.68,100.68
1730304900,92.24,92.24
1730305800,92.24,92.24
1730306700,92.24,92.24
1730307600,92.24,92.24
1730308500,91.76,91.76
1730309400,91.76,91.76
1730310300,91.76,91.76
1730311200,91.76,91.76
1730312100,91.77,91.77
1730313000,91.77,91.77
1730313900,91.77,91.77
1730314800,91.77,91.77
1730315700,92.21,92.21
1730316600,92.21,92.21
1730317500,92.21,92.21
1730318400,92.21,92.21
1730319300,99.85,99.85
1730320200,99.85,99.85
1730321100,99.85,99.85
1730322000,99.85,99.85
1730322900,100.65,100.65
1730323800,100.65,100.65
1730324700,100.65,100.65
1730325600,100.65,100.65
1730326500,105.16,105.16
1730327400,105.16,105.16
1730328300,105.16,105.16
1730329200,105.16,105.16
1730330100,139.28,139.28
1730331000,139.28,139.28
1730331900,139.28,139.28
1730332800,139.28,139.28
1730333700,139.33,139.33
1730334600,139.33,139.33
1730335500,139.33,139.33
1730336400,139.33,139.33
1730337300,140.45,140.45
1730338200,140.45,140.45
1730339100,140.45,140.45
1730340000,140.45,140.45
1730340900,133.11,133.11
1730341800,133.11,133.11
1730342700,133.11,133.11
1730343600,133.11,133.11
1730344500,104.87,104.87
1730345400,104.87,104.87
1730346300,104.87,104.87
1730347200,104.87,104.87
1730348100,128.34,128.34
1730349000,128.34,128.34
1730349900,128.34,128.34
1730350800,128.34,128.34
1730351700,147.98,147.98
1730352600,147.98,147.98
1730353500,147.98,147.98
1730354400,147.98,147.98
1730355300,152.55,152.55
1730356200,152.55,152.55
1730357100,152.55,152.55
1730358000,152.55,152.55
1730358900,139.33,139.33
1730359800,139.33,139.33
1730360700,139.33,139.33
1730361600,139.33,139.33
1730362500,135.29,135.29
1730363400,135.29,135.29
1730364300,135.29,135.29
1730365200,135.29,135.29
1730366100,135.3,135.3
1730367000,135.3,135.3
1730367900,135.3,135.3
1730368800,135.3,135.3
1730369700,135.3,135.3
1730370600,135.3,135.3
1730371500,135.3,135.3
1730372400,135.3,135.3
1730373300,130.87,130.87
1730374200,130.87,130.87
1730375100,130.87,130.87
1730376000,130.87,130.87
1730376900,132.91,132.91
1730377800,132.91,132.91
1730378700,132.91,132.91
1730379600,132.91,132.91
1730380500,105.14,105.14
1730381400,105.14,105.14
1730382300,105.14,105.14
1730383200,105.14,105.14
1730384100,105.14,105.14
1730385000,105.14,105.14
1730385900,105.14,105.14
1730386800,105.14,105.14
1730387700,112.58,112.58
1730388600,112.58,112.58
1730389500,112.58,112.58
1730390400,112.58,112.58
1730391300,103.44,103.44
1730392200,103.44,103.44
1730393100,103.44,103.44
1730394000,103.44,103.44
1730394900,102.83,102.83
1730395800,102.83,102.83
1730396700,102.83,102.83
1730397600,102.83,102.83
1730398500,91.75,91.75
1730399400,91.75,91.75
1730400300,91.75,91.75
1730401200,91.75,91.75
1730402100,101.85,101.85
1730403000,101.85,101.85
1730403900,101.85,101.85
1730404800,101.85,101.85
1730405700,103.45,103.45
1730406600,103.45,103.45
1730407500,103.45,103.45
1730408400,103.45,103.45
1730409300,106.6,106.6
1730410200,106.6,106.6
1730411100,106.6,106.6
1730412000,106.6,106.6
1730412900,131.3,131.3
1730413800,131.3,131.3
1730414700,131.3,131.3
1730415600,131.3,131.3
1730416500,151.13,151.13
1730417400,151.13,151.13
1730418300,151.13,151.13
1730419200,151.13,151.13
1730420100,150.53,150.53
1730421000,150.53,150.53
1730421900,150.53,150.53
1730422800,150.53,150.53
1730423700,145.71,145.71
1730424600,145.71,145.71
1730425500,145.71,145.71
1730426400,145.71,145.71
1730427300,135.22,135.22
1730428200,135.22,135.22
1730429100,135.22,135.22
1730430000,135.22,135.22
1730430900,116.31,116.31
1730431800,116.31,116.31
1730432700,116.31,116.31
1730433600,116.31,116.31
1730434500,113.82,113.82
1730435400,113.82,113.82
1730436300,113.82,113.82
1730437200,113.82,113.82
1730438100,114.22,114.22
1730439000,114.22,114.22
1730439900,114.22,114.22
1730440800,114.22,114.22
1730441700,113.0,113.0
1730442600,113.0,113.0
1730443500,113.0,113.0
1730444400,113.0,113.0
1730445300,131.17,131.17
1730446200,131.17,131.17
1730447100,131.17,131.17
1730448000,131.17,131.17
1730448900,131.26,131.26
1730449800,131.26,131.26
1730450700,131.26,131.26
1730451600,131.26,131.26
1730452500,131.26,131.26
1730453400,131.26,131.26
1730454300,131.26,131.26
1730455200,131.26,131.26
1730456100,107.08,107.08
1730457000,107.08,107.08
1730457900,107.08,107.08
1730458800,107.08,107.08
1730459700,103.42,103.42
1730460600,103.42,103.42
1730461500,103.42,103.42
1730462400,103.42,103.42
1730463300,103.42,103.42
1730464200,103.42,103.42
1730465100,103.42,103.42
1730466000,103.42,103.42
1730466900,103.42,103.42
1730467800,103.42,103.42
1730468700,103.42,103.42
1730469600,103.42,103.42
1730470500,103.42,103.42
1730471400,103.42,103.42
1730472300,103.42,103.42
1730473200,103.42,103.42
1730474100,104.31,104.31
1730475000,104.31,104.31
1730475900,104.31,104.31
1730476800,104.31,104.31
1730477700,103.05,103.05
1730478600,103.05,103.05
1730479500,103.05,103.05
1730480400,103.05,103.05
1730481300,102.64,102.64
1730482200,102.64,102.64
1730483100,102.64,102.64
1730484000,102.64,102.64
1730484900,87.43,87.43
1730485800,87.43,87.43
1730486700,87.43,87.43
1730487600,87.43,87.43
1730488500,102.83,102.83
1730489400,102.83,102.83
1730490300,102.83,102.83
1730491200,102.83,102.83
1730492100,103.18,103.18
1730493000,103.18,103.18
1730493900,103.18,103.18
1730494800,103.18,103.18
1730495700,103.81,103.81
1730496600,103.81,103.81
1730497500,103.81,103.81
1730498400,103.81,103.81
1730499300,104.3,104.3
1730500200,104.3,104.3
1730501100,104.3,104.3
1730502000,104.3,104.3
1730502900,107.25,107.25
1730503800,107.25,107.25
1730504700,107.25,107.25
1730505600,107.25,107.25
1730506500,107.89,107.89
1730507400,107.89,107.89
1730508300,107.89,107.89
1730509200,107.89,107.89
1730510100,116.19,116.19
1730511000,116.19,116.19
1730511900,116.19,116.19
1730512800,116.19,116.19
1730513700,148.12,148.12
1730514600,148.12,148.12
1730515500,148.12,148.12
1730516400,148.12,148.12
1730517300,107.6,107.6
1730518200,107.6,107.6
1730519100,107.6,107.6
1730520000,107.6,107.6
1730520900,107.6,107.6
1730521800,107.6,107.6
1730522700,107.6,107.6
1730523600,107.6,107.6
1730524500,107.52,107.52
1730525400,107.52,107.52
1730526300,107.52,107.52
1730527200,107.52,107.52
1730528100,107.68,107.68
1730529000,107.68,107.68
1730529900,107.68,107.68
1730530800,107.68,107.68
1730531700,107.3,107.3
1730532600,107.3,107.3
1730533500,107.3,107.3
1730534400,107.3,107.3
1730535300,107.95,107.95
1730536200,107.95,107.95
1730537100,107.95,107.95
1730538000,107.95,107.95
1730538900,108.08,108.08
1730539800,108.08,108.08
1730540700,108.08,108.08
1730541600,108.08,108.08
1730542500,108.14,108.14
1730543400,108.14,108.14
1730544300,108.14,108.14
1730545200,108.14,108.14
1730546100,108.2,108.2
1730547000,108.2,108.2
1730547900,108.2,108.2
1730548800,108.2,108.2
1730549700,106.76,106.76
1730550600,106.76,106.76
1730551500,106.76,106.76
1730552400,106.76,106.76
1730553300,106.85,106.85
1730554200,106.85,106.85
1730555100,106.85,106.85
1730556000,106.85,106.85
1730556900,104.76,104.76
1730557800,104.76,104.76
1730558700,104.76,104.76
1730559600,104.76,104.76
1730560500,106.63,106.63
1730561400,106.63,106.63
1730562300,106.63,106.63
1730563200,106.63,106.63
1730564100,92.24,92.24
