ts,temp,real_feel_temp,real_feel_temp_shade,rel_hum,dew_point,wind_dir,wind_spd,wind_gust_spd,uv_idx,vis,cld_cvr,ceiling,pressure,appr_temp,wind_chill_temp,wet_bulb_temp,precip_1h,location,cloud,temp_max,temp_min,humidity,ground_press,wind_speed,rain,snow
1729645320,19.0,17.8,17.0,58.0,10.8,315.0,20.9,45.7,1.0,24.1,84.0,823.0,1015.9,19.4,18.9,14.1,0.0,Ilgwa-ri,,,,,,,,
1729648560,18.0,16.0,15.2,61.0,10.4,315.0,28.5,28.5,1.0,16.1,73.0,823.0,1020.0,18.3,17.8,13.6,0.0,Ilgwa-ri,,,,,,,,
1729648920,19.0,17.6,16.6,57.0,10.4,315.0,28.5,28.5,2.0,16.1,73.0,823.0,1016.3,19.4,18.9,13.9,0.0,Ilgwa-ri,,,,,,,,
1729652520,18.7,17.4,16.3,55.0,9.5,338.0,28.8,28.8,2.0,16.1,73.0,823.0,1016.3,19.4,18.9,13.4,0.0,Ilgwa-ri,,,,,,,,
1729655760,18.8,18.0,16.9,61.0,11.1,338.0,19.8,40.5,2.0,24.1,77.0,823.0,1020.0,19.4,18.9,14.2,0.0,Ilgwa-ri,,,,,,,,
1729656120,19.3,19.4,17.3,59.0,11.1,338.0,19.8,40.5,3.0,24.1,77.0,9144.0,1016.6,19.4,19.4,14.4,0.0,Ilgwa-ri,,,,,,,,
1729659540,18.6,18.0,16.3,64.0,11.8,338.0,28.1,28.1,3.0,16.1,77.0,12192.0,1020.0,19.4,18.3,14.7,0.0,Ilgwa-ri,,,,,,,,
1729663020,18.3,17.1,15.4,60.0,10.4,338.0,31.7,31.7,3.0,16.1,51.0,12192.0,1019.0,19.4,18.3,13.7,0.0,Ilgwa-ri,,,,,,,,
1729663380,18.6,17.3,16.1,59.0,10.4,315.0,31.7,31.7,2.0,16.1,51.0,11278.0,1017.3,19.4,18.3,13.8,0.0,Ilgwa-ri,,,,,,,,
1729666920,18.7,17.2,16.4,59.0,10.4,338.0,26.7,47.3,1.0,24.1,23.0,9601.0,1018.0,19.4,18.9,13.9,0.0,Ilgwa-ri,,,,,,,,
1729670220,17.3,15.2,14.4,64.0,10.5,248.0,27.0,27.0,1.0,16.1,3.0,12192.0,1020.0,18.3,17.2,13.6,0.0,Ilgwa-ri,,,,,,,,
1729670520,18.4,16.4,16.4,60.0,10.5,248.0,27.0,27.0,0.0,16.1,3.0,10363.0,1018.6,19.4,18.3,13.8,0.0,Ilgwa-ri,,,,,,,,
1729673820,16.4,14.7,14.7,68.0,10.6,315.0,16.9,16.9,0.0,16.1,1.0,12192.0,1019.0,18.3,16.7,13.3,0.0,Ilgwa-ri,,,,,,,,
1729677420,16.1,13.6,13.6,71.0,10.9,315.0,19.5,50.3,0.0,24.1,1.0,12192.0,1019.0,18.3,16.1,13.3,0.0,Ilgwa-ri,,,,,,,,
1729677720,17.4,15.2,15.2,66.0,10.9,315.0,19.5,50.3,0.0,24.1,1.0,10211.0,1019.3,18.3,17.2,13.8,0.0,Ilgwa-ri,,,,,,,,
1729681320,17.4,15.9,15.9,65.0,10.7,338.0,14.1,14.1,0.0,16.1,12.0,10150.0,1019.6,18.3,17.2,13.7,0.0,Ilgwa-ri,,,,,,,,
1729684920,17.4,16.1,16.1,66.0,11.0,135.0,13.0,13.0,0.0,16.1,23.0,10180.0,1019.6,18.3,17.2,13.9,0.0,Ilgwa-ri,,,,,,,,
1729688520,16.0,15.1,15.1,69.0,10.4,45.0,10.1,38.2,0.0,24.1,2.0,10150.0,1019.3,18.3,16.1,13.0,0.0,Ilgwa-ri,,,,,,,,
1729692120,16.0,15.2,15.2,70.0,10.6,23.0,9.7,9.7,0.0,16.1,18.0,10180.0,1019.0,18.3,16.1,13.0,0.0,Ilgwa-ri,,,,,,,,
1729695360,14.5,12.4,12.4,76.0,10.3,45.0,15.1,15.1,0.0,16.1,22.0,12192.0,1021.0,16.1,14.4,12.3,0.0,Ilgwa-ri,,,,,,,,
1729609320,17.5,13.4,13.4,84.0,14.7,248.0,38.0,62.4,0.0,16.1,67.0,579.0,1013.2,18.9,17.2,15.8,0.0,Geumak-ri,,,,,,,,
1729612920,17.2,12.6,12.6,76.0,12.9,293.0,46.4,58.0,0.0,20.9,80.0,579.0,1013.5,18.3,17.2,14.7,0.1,Geumak-ri,,,,,,,,
1729616520,16.9,12.0,12.0,80.0,13.5,338.0,50.7,75.3,0.0,16.1,63.0,579.0,1013.9,18.9,16.7,15.0,0.0,Geumak-ri,,,,,,,,
1729620180,17.0,12.7,12.7,72.0,12.0,203.0,38.4,60.2,0.0,16.1,55.0,579.0,1014.2,18.3,17.2,14.2,0.0,Geumak-ri,,,,,,,,
1729623720,16.5,11.5,11.5,65.0,10.1,315.0,49.6,69.7,0.0,20.9,68.0,10363.0,1014.6,18.3,16.7,13.0,0.0,Geumak-ri,,,,,,,,
1729627320,15.9,11.4,11.4,64.0,9.3,68.0,34.9,59.5,0.0,16.1,31.0,6096.0,1014.9,18.3,16.1,12.4,0.0,Geumak-ri,,,,,,,,
1729630920,15.6,11.2,11.2,70.0,10.2,23.0,38.9,62.8,0.0,16.1,43.0,3658.0,1014.9,18.3,15.6,12.7,0.0,Geumak-ri,,,,,,,,
1729634520,15.4,10.4,10.4,64.0,8.6,338.0,41.2,59.2,0.0,22.5,72.0,9144.0,1015.2,18.3,15.6,11.6,0.0,Geumak-ri,,,,,,,,
1729638120,15.4,11.7,11.7,59.0,7.5,135.0,28.3,31.4,1.0,16.1,51.0,1798.0,1015.6,18.3,15.6,11.0,0.1,Geumak-ri,,,,,,,,
1729641420,15.4,12.5,11.7,64.0,8.7,158.0,28.8,32.7,1.0,16.1,12.0,6096.0,1019.0,18.3,15.6,11.6,0.0,Geumak-ri,,,,,,,,
1729645320,15.9,12.8,12.1,61.0,8.4,293.0,31.4,44.2,1.0,22.5,82.0,823.0,1015.9,18.3,16.1,11.7,0.0,Geumak-ri,,,,,,,,
1729648920,15.9,14.4,13.2,63.0,8.8,158.0,20.7,22.8,2.0,16.1,73.0,823.0,1016.3,18.3,16.1,11.9,0.0,Geumak-ri,,,,,,,,
1729652520,15.9,14.1,13.0,61.0,8.4,135.0,22.5,24.8,2.0,16.1,76.0,823.0,1016.3,18.3,16.1,11.7,0.0,Geumak-ri,,,,,,,,
1729656120,16.1,13.5,12.5,66.0,9.7,315.0,30.1,38.9,2.0,22.5,70.0,823.0,1016.6,18.3,16.1,12.7,0.0,Geumak-ri,,,,,,,,
1729659540,16.1,14.8,12.8,63.0,9.0,270.0,26.8,30.6,3.0,16.1,70.0,12192.0,1020.0,18.3,16.1,12.1,0.0,Geumak-ri,,,,,,,,
1729663020,16.7,15.6,13.8,59.0,8.8,180.0,24.8,27.3,3.0,16.1,68.0,12192.0,1019.0,18.3,16.7,12.2,0.0,Geumak-ri,,,,,,,,
1729663380,16.2,14.4,13.1,61.0,8.8,180.0,24.8,27.3,2.0,16.1,68.0,9144.0,1017.3,18.3,16.1,12.0,0.0,Geumak-ri,,,,,,,,
1729666920,15.8,13.4,12.6,60.0,8.1,315.0,26.1,39.4,1.0,22.5,29.0,10363.0,1018.0,18.3,16.1,11.5,0.0,Geumak-ri,,,,,,,,
1729670520,15.3,14.2,14.2,62.0,8.0,225.0,12.2,13.5,0.0,16.1,12.0,10058.0,1018.6,18.3,15.6,11.3,0.0,Geumak-ri,,,,,,,,
1729673820,15.3,13.8,13.8,61.0,8.0,158.0,14.3,15.7,0.0,16.1,5.0,12192.0,1019.0,18.3,15.6,11.3,0.0,Geumak-ri,,,,,,,,
1729677720,14.2,10.4,10.4,64.0,7.5,45.0,25.8,41.5,0.0,22.5,3.0,10150.0,1019.3,17.2,14.4,10.6,0.0,Geumak-ri,,,,,,,,
1729681320,14.2,12.6,12.6,67.0,8.1,180.0,12.0,13.1,0.0,16.1,8.0,10180.0,1019.6,17.2,14.4,11.0,0.0,Geumak-ri,,,,,,,,
1729684920,14.0,13.1,13.1,64.0,7.3,203.0,9.4,10.4,0.0,16.1,37.0,10150.0,1019.6,16.7,13.9,10.4,0.0,Geumak-ri,,,,,,,,
1729688520,13.8,10.8,10.8,67.0,7.7,45.0,19.0,30.7,0.0,22.5,7.0,10180.0,1019.3,16.7,13.9,10.7,0.0,Geumak-ri,,,,,,,,
1729692120,13.2,12.3,12.3,68.0,7.5,158.0,9.2,10.2,0.0,16.1,29.0,10150.0,1019.3,16.1,13.3,10.3,0.0,Geumak-ri,,,,,,,,
1729609320,22.5,18.6,18.6,79.0,18.8,293.0,69.2,69.2,0.0,29.0,85.0,579.0,1013.0,23.3,22.8,20.1,0.0,Yongsu-ri,,,,,,,,
1729612560,18.9,15.4,15.4,81.0,15.5,293.0,64.8,72.6,0.0,24.1,88.0,457.0,1016.0,20.0,18.9,16.8,0.0,Yongsu-ri,,,,,,,,
1729612920,22.0,18.5,18.5,66.0,15.5,293.0,64.8,72.6,0.0,32.2,88.0,61.0,1013.2,22.2,22.2,18.0,0.0,Yongsu-ri,,,,,,,,
1729616520,21.8,17.8,17.8,81.0,18.5,338.0,72.1,72.1,0.0,49.9,59.0,579.0,1013.8,22.2,21.7,19.7,0.0,Yongsu-ri,,,,,,,,
1729619760,18.4,15.0,15.0,100.0,18.4,338.0,68.8,68.8,0.0,49.9,84.0,1798.0,1013.8,20.6,18.3,18.4,0.0,Yongsu-ri,,,,,,,,
1729620180,18.3,14.4,14.4,100.0,18.3,315.0,68.8,68.8,0.0,49.9,84.0,6096.0,1014.3,20.6,18.3,18.3,0.0,Yongsu-ri,,,,,,,,
1729623360,18.3,14.2,14.2,69.0,12.5,315.0,68.5,81.0,0.0,20.9,76.0,762.0,1017.0,19.4,18.3,15.0,0.0,Yongsu-ri,,,,,,,,
1729623720,21.1,17.5,17.5,58.0,12.5,315.0,68.5,81.0,0.0,38.6,76.0,1829.0,1014.5,21.1,21.1,15.8,0.0,Yongsu-ri,,,,,,,,
1729627320,21.0,16.8,16.8,80.0,17.5,338.0,73.2,87.5,0.0,35.4,31.0,6096.0,1014.2,21.7,21.1,18.8,0.0,Yongsu-ri,,,,,,,,
1729630920,20.4,17.1,17.1,82.0,17.3,338.0,60.2,60.2,0.0,35.4,68.0,4267.0,1014.6,20.0,20.6,18.5,0.0,Yongsu-ri,,,,,,,,
1729634520,19.0,15.6,15.6,61.0,11.4,338.0,63.0,73.6,0.0,11.3,76.0,4877.0,1015.2,19.4,18.9,14.4,0.0,Yongsu-ri,,,,,,,,
1729638120,19.3,16.1,16.1,87.0,17.1,315.0,48.7,77.7,1.0,22.5,63.0,1798.0,1015.5,20.0,19.4,17.9,0.0,Yongsu-ri,,,,,,,,
1729641420,17.2,13.5,13.0,97.0,16.7,0.0,52.3,52.3,1.0,22.5,51.0,6096.0,1015.5,19.4,17.2,17.2,0.0,Yongsu-ri,,,,,,,,
1729645320,18.4,15.9,15.4,54.0,9.0,293.0,46.3,52.1,1.0,19.3,88.0,823.0,1015.6,19.4,18.3,13.0,0.0,Yongsu-ri,,,,,,,,
1729648920,18.6,16.4,15.8,84.0,15.8,225.0,41.4,41.4,1.0,19.3,86.0,823.0,1015.6,20.0,18.3,16.9,0.0,Yongsu-ri,,,,,,,,
1729652520,18.3,15.2,14.6,78.0,14.4,338.0,49.7,49.7,1.0,20.9,88.0,823.0,1015.8,20.0,18.3,16.0,0.0,Yongsu-ri,,,,,,,,
1729656120,18.0,15.2,14.6,57.0,9.4,315.0,38.9,44.4,1.0,29.0,88.0,1036.0,1015.5,17.8,17.8,13.0,0.0,Yongsu-ri,,,,,,,,
1729659540,18.1,15.5,14.4,63.0,11.0,315.0,46.1,46.1,3.0,29.0,88.0,12192.0,1015.5,19.4,18.3,14.1,0.0,Yongsu-ri,,,,,,,,
1729659720,17.4,14.4,13.4,66.0,11.0,315.0,46.1,46.1,2.0,25.7,88.0,10363.0,1015.7,18.3,17.2,13.9,0.0,Yongsu-ri,,,,,,,,
1729663020,17.3,14.7,13.3,71.0,12.0,0.0,46.1,46.1,3.0,25.7,36.0,12192.0,1015.7,18.3,17.2,14.3,0.0,Yongsu-ri,,,,,,,,
1729663380,17.2,14.2,13.1,71.0,12.0,293.0,46.1,46.1,2.0,30.6,36.0,10058.0,1016.3,18.3,17.2,14.3,0.0,Yongsu-ri,,,,,,,,
1729666620,17.2,14.6,13.5,61.0,9.6,315.0,38.9,54.2,2.0,24.1,25.0,12192.0,1019.0,18.3,17.2,12.9,0.0,Yongsu-ri,,,,,,,,
1729666920,17.2,14.2,13.5,61.0,9.6,315.0,38.9,54.2,1.0,33.8,25.0,10211.0,1016.9,18.3,17.2,12.9,0.0,Yongsu-ri,,,,,,,,
1729670220,17.0,13.6,13.0,63.0,10.0,0.0,43.2,43.2,1.0,33.8,0.0,12192.0,1016.9,18.3,17.2,13.2,0.0,Yongsu-ri,,,,,,,,
1729670520,17.0,13.2,13.2,63.0,10.0,0.0,43.2,43.2,0.0,29.0,0.0,10150.0,1017.6,18.3,17.2,13.2,0.0,Yongsu-ri,,,,,,,,
1729673820,16.9,14.1,14.1,62.0,9.6,180.0,27.0,27.0,0.0,29.0,0.0,12192.0,1017.6,18.3,16.7,12.7,0.0,Yongsu-ri,,,,,,,,
1729674180,17.1,14.1,14.1,61.0,9.6,180.0,27.0,27.0,0.0,35.4,0.0,10180.0,1019.0,18.3,17.2,12.8,0.0,Yongsu-ri,,,,,,,,
1729677420,16.8,12.9,12.9,64.0,9.9,68.0,38.9,58.2,0.0,24.1,0.0,12192.0,1019.0,18.3,16.7,13.1,0.0,Yongsu-ri,,,,,,,,
1729677720,17.8,14.3,14.3,60.0,9.9,68.0,38.9,58.2,0.0,38.6,0.0,10150.0,1019.3,18.3,17.8,13.2,0.0,Yongsu-ri,,,,,,,,
1729681320,17.4,13.8,13.8,59.0,9.4,23.0,38.6,38.6,0.0,37.0,5.0,10180.0,1019.6,18.3,17.2,12.8,0.0,Yongsu-ri,,,,,,,,
1729684560,16.4,12.9,12.9,62.0,9.2,45.0,30.3,30.3,0.0,37.0,12.0,12192.0,1019.6,18.3,16.7,12.3,0.0,Yongsu-ri,,,,,,,,
1729684920,17.8,14.8,14.8,57.0,9.2,45.0,30.3,30.3,0.0,40.2,12.0,10150.0,1019.4,17.8,17.8,12.9,0.0,Yongsu-ri,,,,,,,,
1729688520,17.6,14.6,14.6,64.0,10.8,45.0,29.6,44.3,0.0,30.6,0.0,10180.0,1018.7,18.3,17.8,13.9,0.0,Yongsu-ri,,,,,,,,
1729692120,18.1,16.0,16.0,66.0,11.6,45.0,20.5,20.5,0.0,24.1,1.0,10150.0,1018.3,19.4,18.3,14.4,0.0,Yongsu-ri,,,,,,,,
1729609320,19.7,17.6,17.6,82.0,16.6,180.0,16.9,47.7,0.0,14.5,67.0,579.0,1012.5,20.0,19.4,17.8,0.1,Hacheon-ri,,,,,,,,
1729612920,19.4,16.3,16.3,79.0,15.7,113.0,20.2,24.9,0.0,24.1,73.0,1798.0,1012.9,20.0,19.4,17.2,0.1,Hacheon-ri,,,,,,,,
1729616520,19.1,16.3,16.3,77.0,14.9,113.0,25.9,58.0,0.0,16.1,93.0,1798.0,1013.2,19.4,18.9,16.6,0.1,Hacheon-ri,,,,,,,,
1729619760,17.8,15.0,15.0,82.0,14.6,113.0,21.3,47.9,0.0,16.1,49.0,3048.0,1016.0,18.9,17.8,16.0,0.1,Hacheon-ri,,,,,,,,
1729620180,17.8,15.0,15.0,82.0,14.6,113.0,21.3,47.9,0.0,16.1,49.0,10363.0,1013.5,18.9,17.8,16.0,0.1,Hacheon-ri,,,,,,,,
1729623720,18.9,16.5,16.5,65.0,12.2,158.0,17.3,30.5,0.0,24.1,71.0,9144.0,1013.5,19.4,18.9,15.1,0.0,Hacheon-ri,,,,,,,,
1729627320,18.1,14.9,14.9,63.0,11.0,225.0,20.2,46.6,0.0,16.1,76.0,4267.0,1013.9,19.4,18.3,14.1,0.2,Hacheon-ri,,,,,,,,
1729630920,17.9,16.0,16.0,67.0,11.6,180.0,13.7,50.4,0.0,14.5,56.0,6096.0,1014.2,18.3,17.8,14.4,0.1,Hacheon-ri,,,,,,,,
1729634520,17.9,16.5,16.5,59.0,9.8,248.0,16.2,19.7,0.0,24.1,43.0,7315.0,1014.6,18.3,17.8,13.1,0.0,Hacheon-ri,,,,,,,,
1729638120,17.9,16.5,15.8,63.0,10.8,180.0,19.5,26.5,1.0,16.1,78.0,10363.0,1014.9,18.3,17.8,14.0,0.0,Hacheon-ri,,,,,,,,
1729641420,17.2,17.3,16.2,64.0,10.5,68.0,10.8,29.3,1.0,16.1,59.0,6096.0,1019.0,18.3,17.2,13.5,0.0,Hacheon-ri,,,,,,,,
1729645320,18.8,19.4,17.3,59.0,10.6,180.0,12.6,14.8,3.0,24.1,76.0,9144.0,1015.2,19.4,18.9,14.0,0.0,Hacheon-ri,,,,,,,,
1729648920,19.3,20.2,17.5,52.0,9.4,180.0,17.3,20.6,4.0,16.1,58.0,9144.0,1015.2,19.4,19.4,13.5,0.0,Hacheon-ri,,,,,,,,
1729652520,19.3,20.2,17.4,60.0,11.3,45.0,18.7,21.6,4.0,16.1,46.0,9144.0,1015.2,19.4,19.4,14.6,0.0,Hacheon-ri,,,,,,,,
1729655760,19.1,20.7,17.4,60.0,11.2,158.0,14.4,22.6,4.0,24.1,59.0,9144.0,1020.0,19.4,18.9,14.4,0.0,Hacheon-ri,,,,,,,,
1729656120,19.9,21.2,18.2,57.0,11.2,158.0,14.4,22.6,4.0,24.1,59.0,9144.0,1015.6,19.4,20.0,14.7,0.0,Hacheon-ri,,,,,,,,
1729659540,18.8,19.4,16.8,61.0,11.1,68.0,20.5,27.7,4.0,16.1,59.0,12192.0,1020.0,19.4,18.9,14.2,0.0,Hacheon-ri,,,,,,,,
1729663020,18.5,18.6,16.5,61.0,10.9,90.0,21.3,24.0,3.0,16.1,37.0,12192.0,1019.0,19.4,18.3,14.0,0.0,Hacheon-ri,,,,,,,,
1729663380,18.2,17.5,16.0,62.0,10.9,158.0,21.3,24.0,2.0,16.1,37.0,11278.0,1016.6,19.4,18.3,14.1,0.0,Hacheon-ri,,,,,,,,
1729666920,17.7,16.3,15.3,62.0,10.4,248.0,21.6,32.9,1.0,24.1,4.0,9601.0,1017.3,18.3,17.8,13.4,0.0,Hacheon-ri,,,,,,,,
1729670520,17.2,14.8,14.8,62.0,9.8,113.0,24.5,24.5,0.0,16.1,1.0,10363.0,1018.0,18.3,17.2,12.9,0.0,Hacheon-ri,,,,,,,,
1729673820,15.5,13.0,13.0,68.0,9.7,270.0,20.9,20.9,0.0,16.1,0.0,12192.0,1019.0,18.3,15.6,12.4,0.0,Hacheon-ri,,,,,,,,
1729677720,16.1,14.5,14.5,66.0,9.9,248.0,13.7,22.8,0.0,24.1,1.0,10211.0,1019.0,18.3,16.1,12.7,0.0,Hacheon-ri,,,,,,,,
1729681320,16.1,15.0,15.0,65.0,9.7,158.0,11.2,12.2,0.0,16.1,34.0,10150.0,1019.0,18.3,16.1,12.7,0.0,Hacheon-ri,,,,,,,,
1729684920,15.8,13.7,13.7,67.0,9.6,203.0,16.9,16.9,0.0,16.1,31.0,10180.0,1019.0,18.3,16.1,12.5,0.0,Hacheon-ri,,,,,,,,
1729688520,15.5,14.0,14.0,67.0,9.5,225.0,13.0,18.7,0.0,24.1,1.0,10150.0,1019.0,18.3,15.6,12.3,0.0,Hacheon-ri,,,,,,,,
1729692120,15.2,13.8,13.8,69.0,9.5,45.0,11.5,11.5,0.0,16.1,34.0,10180.0,1018.6,16.1,15.0,12.1,0.0,Hacheon-ri,,,,,,,,
1729609320,26.9,26.7,26.7,67.0,20.3,203.0,15.1,49.2,0.0,49.9,60.0,579.0,1012.4,28.3,26.7,22.5,0.0,Cheonji-dong,,,,,,,,
1729612920,19.4,17.5,17.5,80.0,15.8,225.0,18.5,29.0,0.0,49.9,11.0,1798.0,1011.8,20.0,19.4,17.2,0.0,Cheonji-dong,,,,,,,,
1729616160,19.6,19.5,19.5,100.0,19.6,270.0,9.4,59.9,0.0,49.9,20.0,12192.0,1011.8,20.6,19.4,19.6,0.1,Cheonji-dong,,,,,,,,
1729616520,25.8,25.7,25.7,68.0,19.6,23.0,9.4,59.9,0.0,49.9,60.0,1798.0,1012.6,27.2,25.6,21.7,0.1,Cheonji-dong,,,,,,,,
1729619760,19.0,18.2,18.2,100.0,19.0,270.0,19.1,48.8,0.0,49.9,60.0,6096.0,1012.6,20.6,18.9,19.0,0.0,Cheonji-dong,,,,,,,,
1729620180,18.9,18.0,18.0,100.0,18.9,293.0,19.1,48.8,0.0,49.9,70.0,1798.0,1013.1,20.6,18.9,18.9,0.0,Cheonji-dong,,,,,,,,
1729623720,23.1,21.3,21.3,51.0,12.6,270.0,16.7,30.1,0.0,49.9,25.0,9144.0,1013.4,23.3,23.3,16.5,0.0,Cheonji-dong,,,,,,,,
1729626960,17.8,18.5,18.5,98.0,17.5,0.0,6.8,6.8,0.0,49.9,59.0,12192.0,1013.4,19.4,17.8,17.8,0.0,Cheonji-dong,,,,,,,,
1729627320,22.6,22.2,22.2,73.0,17.5,0.0,6.8,6.8,0.0,49.9,59.0,3018.0,1013.6,23.3,22.8,19.4,0.0,Cheonji-dong,,,,,,,,
1729630920,22.2,21.5,21.5,75.0,17.5,270.0,5.0,51.1,0.0,49.9,70.0,579.0,1014.3,22.8,22.2,19.2,0.0,Cheonji-dong,,,,,,,,
1729634520,21.5,20.5,20.5,50.0,10.6,248.0,7.4,16.4,0.0,49.9,63.0,579.0,1014.5,21.7,21.7,15.0,0.0,Cheonji-dong,,,,,,,,
1729637820,18.0,19.3,19.3,97.0,17.6,225.0,6.5,6.5,0.0,49.9,72.0,12192.0,1014.5,19.4,17.8,18.0,0.0,Cheonji-dong,,,,,,,,
1729638120,21.1,21.6,21.6,80.0,17.6,225.0,6.5,6.5,1.0,49.9,72.0,1798.0,1014.5,21.7,21.1,18.9,0.0,Cheonji-dong,,,,,,,,
1729641420,18.8,20.0,18.4,87.0,16.6,248.0,4.3,4.3,1.0,49.9,43.0,6096.0,1014.5,20.0,18.9,17.5,0.0,Cheonji-dong,,,,,,,,
1729641780,20.4,22.4,20.0,79.0,16.6,270.0,4.3,4.3,2.0,49.9,20.0,3048.0,1014.6,20.0,20.6,18.1,0.0,Cheonji-dong,,,,,,,,
1729645320,20.0,21.9,19.0,53.0,10.1,203.0,5.6,12.3,3.0,49.9,76.0,9144.0,1014.7,19.4,20.0,14.1,0.0,Cheonji-dong,,,,,,,,
1729648560,21.0,22.3,19.6,67.0,14.7,68.0,11.2,11.2,3.0,49.9,52.0,9144.0,1014.7,21.1,21.1,17.2,0.0,Cheonji-dong,,,,,,,,
1729648920,19.2,21.2,17.8,75.0,14.7,68.0,11.2,11.2,4.0,49.9,52.0,9144.0,1014.5,19.4,19.4,16.5,0.0,Cheonji-dong,,,,,,,,
1729652520,18.9,20.5,17.3,73.0,14.0,270.0,14.1,14.1,4.0,49.9,31.0,9144.0,1014.1,19.4,18.9,16.0,0.0,Cheonji-dong,,,,,,,,
1729655760,21.3,22.4,19.5,50.0,10.4,203.0,16.7,25.7,4.0,24.1,25.0,9144.0,1020.0,21.1,21.1,14.8,0.0,Cheonji-dong,,,,,,,,
1729656120,18.5,19.6,16.7,59.0,10.4,293.0,16.7,25.7,4.0,49.9,31.0,9144.0,1014.3,19.4,18.3,13.7,0.0,Cheonji-dong,,,,,,,,
1729659540,22.2,24.3,20.8,48.0,10.8,180.0,10.1,10.1,4.0,49.9,31.0,6096.0,1014.3,22.2,22.2,15.3,0.0,Cheonji-dong,,,,,,,,
1729663020,22.4,25.1,21.5,52.0,12.0,90.0,4.0,23.0,3.0,49.9,0.0,12192.0,1014.5,22.2,22.2,16.0,0.0,Cheonji-dong,,,,,,,,
1729663380,21.8,23.5,20.9,53.0,12.0,203.0,4.0,23.0,2.0,49.9,0.0,10668.0,1015.3,21.7,21.7,15.8,0.0,Cheonji-dong,,,,,,,,
1729666920,17.7,19.1,17.8,64.0,10.9,0.0,5.6,13.5,1.0,49.9,80.0,9906.0,1015.7,18.3,17.8,13.9,0.0,Cheonji-dong,,,,,,,,
1729670520,17.9,17.7,17.7,68.0,11.9,158.0,8.6,12.0,0.0,49.9,80.0,10302.0,1016.6,18.3,17.8,14.5,0.0,Cheonji-dong,,,,,,,,
1729673820,19.0,18.0,18.0,54.0,9.5,203.0,8.6,13.7,0.0,49.9,80.0,12192.0,1016.6,19.4,18.9,13.5,0.0,Cheonji-dong,,,,,,,,
1729674180,19.1,17.8,17.8,54.0,9.5,203.0,8.6,13.7,0.0,45.1,0.0,10089.0,1018.1,19.4,18.9,13.5,0.0,Cheonji-dong,,,,,,,,
1729677720,20.6,19.1,19.1,55.0,11.2,158.0,11.1,20.0,0.0,49.9,0.0,10211.0,1018.2,19.4,20.6,15.0,0.0,Cheonji-dong,,,,,,,,
