ts,공급능력(kW),현재 수요(kW),태양광 발전량kW),풍력 발전량(kW),신재생 발전량 총합(kW),공급 예비력(kW),운영 예비력(kW)
1729632000,1256000.0,545000.0,0.0,266400.0,274737.0,696000.0,199000.0
1729632300,1256000.0,541000.0,0.0,267754.0,276090.0,701000.0,206000.0
1729632600,1250000.0,550000.0,0.0,260500.0,268836.0,685000.0,196000.0
1729632900,1247000.0,548000.0,0.0,257227.0,265608.0,684000.0,203000.0
1729633200,1253000.0,554000.0,0.0,263371.0,271751.0,685000.0,205000.0
1729633500,1262000.0,555000.0,0.0,273036.0,281415.0,692000.0,218000.0
1729633800,1254000.0,565000.0,0.0,263660.0,272043.0,684000.0,200000.0
1729634100,1250000.0,569000.0,0.0,261052.0,269467.0,677000.0,198000.0
1729634400,1246000.0,571000.0,0.0,255127.0,263687.0,670000.0,190000.0
1729634700,1238000.0,573000.0,1034.77,245684.0,254838.0,660000.0,180000.0
1729635000,1244000.0,574000.0,1986.72,252262.0,262326.0,665000.0,184000.0
1729635300,1237000.0,575000.0,3185.24,243748.0,255010.0,657000.0,180000.0
1729635600,1231000.0,577000.0,6410.73,235629.0,250117.0,649000.0,172000.0
1729635900,1236000.0,571000.0,9876.8,236670.0,254581.0,650000.0,180000.0
1729636200,1230000.0,573000.0,13694.8,229495.0,251266.0,642000.0,175000.0
1729636500,1237000.0,577000.0,17573.1,231413.0,257064.0,646000.0,178000.0
1729636800,1248000.0,585000.0,21323.4,237679.0,267080.0,648000.0,181000.0
1729637100,1253000.0,588000.0,24548.3,238165.0,270791.0,649000.0,181000.0
1729637400,1244000.0,600000.0,27940.1,231062.0,267123.0,630000.0,163000.0
1729637700,1244000.0,606000.0,31482.5,225660.0,265348.0,623000.0,154000.0
1729638000,1259000.0,615000.0,31785.9,240306.0,280429.0,629000.0,157000.0
1729638300,1229000.0,633000.0,31692.8,207265.0,247250.0,581000.0,113000.0
1729638600,1214000.0,627000.0,29419.4,194915.0,232628.0,572000.0,102000.0
1729638900,1211000.0,631000.0,28985.1,194161.0,231257.0,565000.0,140000.0
1729639200,1188000.0,638000.0,27941.2,172839.0,208783.0,535000.0,110000.0
1729639500,1189000.0,632000.0,28708.9,171655.0,208323.0,542000.0,111000.0
1729639800,1196000.0,638000.0,30683.1,176480.0,215123.0,543000.0,116000.0
1729640100,1215000.0,623000.0,32705.6,191450.0,232116.0,577000.0,146000.0
1729640400,1223000.0,627000.0,35869.9,194103.0,237932.0,582000.0,149000.0
1729640700,1221000.0,629000.0,38437.9,193813.0,240211.0,578000.0,151000.0
1729641000,1222000.0,626000.0,41451.6,191288.0,240742.0,581000.0,152000.0
1729641300,1224000.0,611000.0,43702.8,188585.0,240334.0,598000.0,168000.0
1729641600,1226000.0,606000.0,48152.1,189578.0,245906.0,605000.0,180000.0
1729641900,1206000.0,594000.0,53911.3,163981.0,226111.0,603000.0,205000.0
1729642200,1223000.0,602000.0,63816.6,171969.0,244004.0,617000.0,206000.0
1729642500,1238000.0,606000.0,75453.2,173180.0,256809.0,627000.0,204000.0
1729642800,1197000.0,621000.0,92018.2,117460.0,217524.0,572000.0,147000.0
1729643100,1205000.0,620000.0,96320.5,120055.0,224421.0,579000.0,151000.0
1729643400,1205000.0,607000.0,97643.8,120362.0,225966.0,584000.0,167000.0
1729643700,1244000.0,635000.0,103231.0,152978.0,264125.0,604000.0,193000.0
1729644000,1248000.0,636000.0,111585.0,149536.0,269081.0,608000.0,193000.0
1729644300,1270000.0,646000.0,109140.0,173631.0,290910.0,619000.0,203000.0
1729644600,1257000.0,627000.0,104957.0,163846.0,277209.0,625000.0,199000.0
1729644900,1246000.0,634000.0,107353.0,151788.0,267732.0,608000.0,179000.0
1729645200,1240000.0,649000.0,105535.0,145885.0,259879.0,585000.0,158000.0
1729645500,1233000.0,616000.0,108193.0,149168.0,259675.0,597000.0,196000.0
1729645800,1281000.0,625000.0,110289.0,191900.0,309325.0,643000.0,241000.0
1729646100,1278000.0,635000.0,112489.0,185570.0,303508.0,638000.0,218000.0
1729646400,1278000.0,645000.0,122270.0,172936.0,301510.0,628000.0,207000.0
1729646700,1284000.0,644000.0,125495.0,177950.0,310796.0,636000.0,211000.0
1729647000,1293000.0,632000.0,128108.0,181552.0,315536.0,656000.0,231000.0
1729647300,1295000.0,614000.0,127505.0,188796.0,322684.0,676000.0,254000.0
1729647600,1286000.0,625000.0,132324.0,174270.0,312975.0,656000.0,232000.0
1729647900,1307000.0,639000.0,146028.0,181356.0,334561.0,663000.0,236000.0
1729648200,1311000.0,631000.0,151610.0,176659.0,335561.0,676000.0,246000.0
1729648500,1303000.0,615000.0,157079.0,164544.0,328037.0,684000.0,255000.0
1729648800,1308000.0,612000.0,157920.0,168671.0,333970.0,692000.0,267000.0
1729649100,1308000.0,614000.0,168065.0,163492.0,337667.0,693000.0,265000.0
1729649400,1328000.0,624000.0,173968.0,170422.0,350863.0,703000.0,275000.0
1729649700,1338000.0,616000.0,181447.0,175285.0,363459.0,722000.0,298000.0
1729650000,1316000.0,620000.0,184693.0,152077.0,343927.0,696000.0,266000.0
1729650300,1326000.0,617000.0,189637.0,155608.0,351984.0,709000.0,275000.0
1729650600,1323000.0,622000.0,187193.0,155258.0,349692.0,701000.0,271000.0
1729650900,1327000.0,608000.0,192281.0,154322.0,352849.0,718000.0,287000.0
1729651200,1316000.0,605000.0,193588.0,148504.0,343970.0,711000.0,277000.0
1729651500,1300000.0,590000.0,192193.0,130685.0,324757.0,709000.0,274000.0
1729651800,1287000.0,605000.0,197155.0,116423.0,315499.0,681000.0,257000.0
1729652100,1313000.0,629000.0,196144.0,140252.0,341690.0,684000.0,254000.0
1729652400,1298000.0,607000.0,196481.0,125249.0,323694.0,689000.0,266000.0
1729652700,1290000.0,587000.0,198038.0,116071.0,316073.0,702000.0,268000.0
1729653000,1287000.0,595000.0,196020.0,113080.0,311240.0,692000.0,261000.0
1729653300,1301000.0,609000.0,195132.0,128184.0,328817.0,691000.0,220000.0
1729653600,1324000.0,624000.0,192708.0,146404.0,346553.0,699000.0,228000.0
1729653900,1329000.0,636000.0,194257.0,155701.0,356207.0,693000.0,224000.0
1729654200,1329000.0,653000.0,195617.0,149523.0,352875.0,675000.0,203000.0
1729654500,1332000.0,614000.0,187503.0,166614.0,361281.0,718000.0,252000.0
1729654800,1334000.0,610000.0,179009.0,183213.0,368505.0,723000.0,263000.0
1729655100,1329000.0,611000.0,173151.0,176065.0,356234.0,717000.0,241000.0
1729655400,1353000.0,607000.0,180195.0,191441.0,376835.0,745000.0,272000.0
1729655700,1360000.0,580000.0,183106.0,193189.0,383804.0,779000.0,304000.0
1729656000,1314000.0,549000.0,180222.0,156439.0,342478.0,764000.0,257000.0
1729656300,1336000.0,574000.0,189225.0,166450.0,362753.0,778000.0,266000.0
1729656600,1360000.0,602000.0,208748.0,174535.0,388423.0,779000.0,253000.0
1729656900,1367000.0,607000.0,223839.0,165859.0,396142.0,782000.0,258000.0
1729657200,1368000.0,624000.0,231551.0,159359.0,397041.0,766000.0,235000.0
1729657500,1368000.0,618000.0,235828.0,156736.0,398711.0,771000.0,247000.0
1729657800,1369000.0,609000.0,234715.0,154133.0,395134.0,781000.0,252000.0
1729658100,1360000.0,618000.0,234378.0,146677.0,388527.0,763000.0,231000.0
1729658400,1368000.0,620000.0,240709.0,148166.0,394544.0,770000.0,241000.0
1729658700,1371000.0,627000.0,244635.0,148214.0,400089.0,766000.0,237000.0
1729659000,1368000.0,630000.0,238699.0,150007.0,396585.0,760000.0,235000.0
1729659300,1367000.0,628000.0,240111.0,148960.0,395861.0,760000.0,228000.0
1729659600,1363000.0,637000.0,237942.0,148696.0,393574.0,748000.0,219000.0
1729659900,1370000.0,641000.0,239539.0,150953.0,396217.0,751000.0,219000.0
1729660200,1369000.0,626000.0,234832.0,151367.0,393417.0,765000.0,234000.0
1729660500,1360000.0,614000.0,228816.0,149001.0,384851.0,768000.0,234000.0
1729660800,1364000.0,626000.0,233938.0,150367.0,389991.0,760000.0,231000.0
1729661100,1358000.0,616000.0,235322.0,142675.0,384684.0,764000.0,229000.0
1729661400,1377000.0,622000.0,236348.0,158974.0,402680.0,776000.0,248000.0
1729661700,1379000.0,632000.0,238540.0,160326.0,405318.0,769000.0,234000.0
1729662000,1375000.0,645000.0,240714.0,152999.0,400651.0,751000.0,220000.0
1729662300,1374000.0,644000.0,238390.0,156315.0,400769.0,751000.0,222000.0
1729662600,1377000.0,652000.0,231582.0,162512.0,400539.0,747000.0,215000.0
1729662900,1365000.0,657000.0,227769.0,157237.0,392625.0,730000.0,202000.0
1729663200,1383000.0,659000.0,223029.0,181416.0,411029.0,746000.0,217000.0
1729663500,1375000.0,654000.0,216173.0,176828.0,400825.0,743000.0,333000.0
1729663800,1378000.0,659000.0,209621.0,189713.0,405005.0,741000.0,331000.0
1729664100,1373000.0,658000.0,208128.0,183445.0,398560.0,726000.0,326000.0
1729664400,1365000.0,654000.0,200416.0,185643.0,393791.0,722000.0,325000.0
1729664700,1367000.0,648000.0,194592.0,187531.0,387973.0,730000.0,326000.0
1729665000,1369000.0,649000.0,192581.0,195382.0,395076.0,731000.0,327000.0
1729665300,1370000.0,654000.0,188454.0,203242.0,396913.0,727000.0,380000.0
1729665600,1366000.0,659000.0,183900.0,199892.0,391495.0,719000.0,374000.0
1729665900,1369000.0,668000.0,183884.0,203083.0,393344.0,713000.0,367000.0
1729666200,1365000.0,662000.0,178159.0,203916.0,389740.0,699000.0,367000.0
1729666500,1350000.0,663000.0,171015.0,197482.0,374671.0,682000.0,357000.0
1729666800,1365000.0,661000.0,166443.0,217221.0,391797.0,699000.0,371000.0
1729667100,1356000.0,670000.0,158620.0,214553.0,380328.0,681000.0,347000.0
1729667400,1352000.0,677000.0,150882.0,218883.0,376185.0,670000.0,341000.0
1729667700,1356000.0,679000.0,142676.0,229396.0,379584.0,672000.0,388000.0
1729668000,1346000.0,682000.0,132028.0,233761.0,371969.0,659000.0,382000.0
1729668300,1345000.0,690000.0,124870.0,240869.0,373227.0,651000.0,381000.0
1729668600,1337000.0,690000.0,117785.0,239694.0,362781.0,642000.0,380000.0
1729668900,1344000.0,693000.0,109877.0,251420.0,369410.0,647000.0,392000.0
1729669200,1329000.0,699000.0,102470.0,247192.0,355191.0,625000.0,377000.0
1729669500,1316000.0,704000.0,95223.4,238847.0,341249.0,608000.0,354000.0
1729669800,1319000.0,714000.0,87772.9,246139.0,340890.0,600000.0,350000.0
1729670100,1315000.0,716000.0,79585.5,253438.0,339982.0,594000.0,343000.0
1729670400,1302000.0,718000.0,70863.5,249938.0,327572.0,579000.0,331000.0
1729670700,1293000.0,722000.0,63293.0,242999.0,312329.0,566000.0,317000.0
1729671000,1278000.0,727000.0,54140.9,237120.0,298999.0,546000.0,297000.0
1729671300,1275000.0,726000.0,44844.1,242949.0,294695.0,545000.0,294000.0
1729671600,1265000.0,725000.0,34964.2,243519.0,284847.0,535000.0,286000.0
1729671900,1252000.0,725000.0,28566.5,234651.0,269255.0,522000.0,270000.0
1729672200,1253000.0,726000.0,23142.6,239380.0,269474.0,522000.0,268000.0
1729672500,1252000.0,729000.0,18483.1,248036.0,272607.0,518000.0,273000.0
1729672800,1237000.0,725000.0,14910.5,234031.0,256347.0,507000.0,254000.0
1729673100,1241000.0,728000.0,11984.6,241555.0,259887.0,508000.0,312000.0
1729673400,1231000.0,735000.0,9701.23,233838.0,251219.0,490000.0,295000.0
1729673700,1221000.0,739000.0,7656.12,226803.0,239983.0,477000.0,281000.0
1729674000,1231000.0,741000.0,6486.29,237577.0,251152.0,485000.0,292000.0
1729674300,1262000.0,750000.0,5741.58,269874.0,282505.0,507000.0,315000.0
1729674600,1247000.0,749000.0,4310.74,251674.0,263577.0,494000.0,301000.0
1729674900,1242000.0,747000.0,3525.05,250749.0,260395.0,490000.0,294000.0
1729675200,1249000.0,745000.0,3234.65,255479.0,266494.0,499000.0,302000.0
1729675500,1244000.0,747000.0,3173.57,251514.0,261721.0,492000.0,298000.0
1729675800,1249000.0,748000.0,3188.5,256391.0,267094.0,495000.0,301000.0
1729676100,1247000.0,745000.0,3181.15,255411.0,264102.0,497000.0,300000.0
1729676400,1247000.0,741000.0,3166.75,250776.0,262303.0,501000.0,299000.0
1729676700,1242000.0,743000.0,3469.74,254996.0,263929.0,495000.0,301000.0
1729677000,1247000.0,747000.0,4395.42,251522.0,263266.0,495000.0,300000.0
1729677300,1251000.0,745000.0,4667.75,258664.0,268842.0,502000.0,307000.0
1729677600,1240000.0,743000.0,4715.37,242028.0,255077.0,492000.0,293000.0
1729677900,1231000.0,738000.0,4712.54,236722.0,248449.0,488000.0,291000.0
1729678200,1222000.0,734000.0,4803.17,223524.0,236133.0,482000.0,279000.0
1729678500,1211000.0,738000.0,5412.81,216505.0,227370.0,469000.0,269000.0
1729678800,1200000.0,743000.0,6428.24,200104.0,214936.0,452000.0,254000.0
1729679100,1199000.0,734000.0,6509.67,206340.0,219094.0,461000.0,261000.0
1729679400,1213000.0,737000.0,6492.29,213464.0,226999.0,471000.0,271000.0
1729679700,1209000.0,735000.0,6503.01,212968.0,226540.0,469000.0,273000.0
1729680000,1204000.0,737000.0,6830.69,205385.0,219107.0,462000.0,268000.0
1729680300,1207000.0,737000.0,6834.9,210098.0,224123.0,466000.0,271000.0
1729680600,1198000.0,731000.0,6652.44,201536.0,214880.0,463000.0,266000.0
1729680900,1195000.0,725000.0,6269.45,199058.0,212740.0,465000.0,266000.0
1729681200,1212000.0,729000.0,6195.67,215659.0,228609.0,478000.0,288000.0
1729681500,1208000.0,723000.0,6102.75,211228.0,224716.0,480000.0,283000.0
1729681800,1195000.0,722000.0,6100.21,199211.0,211275.0,468000.0,270000.0
1729682100,1193000.0,718000.0,6123.73,197837.0,211632.0,469000.0,273000.0
1729682400,1209000.0,722000.0,6099.49,210458.0,223319.0,482000.0,285000.0
1729682700,1204000.0,718000.0,5941.65,205560.0,218730.0,482000.0,285000.0
1729683000,1190000.0,707000.0,5464.74,195186.0,206877.0,477000.0,283000.0
1729683300,1195000.0,704000.0,5126.65,197857.0,210780.0,486000.0,286000.0
1729683600,1197000.0,703000.0,4866.62,205229.0,217006.0,489000.0,293000.0
1729683900,1200000.0,702000.0,4658.4,203000.0,215448.0,493000.0,296000.0
1729684200,1196000.0,697000.0,4541.59,198751.0,209624.0,494000.0,295000.0
1729684500,1198000.0,697000.0,4478.11,202227.0,214787.0,496000.0,297000.0
1729684800,1186000.0,698000.0,4420.12,192789.0,202722.0,484000.0,287000.0
1729685100,1192000.0,689000.0,4353.94,196413.0,208165.0,498000.0,240000.0
1729685400,1182000.0,689000.0,4221.56,184929.0,195905.0,488000.0,230000.0
1729685700,1175000.0,688000.0,3880.26,177633.0,188841.0,482000.0,225000.0
1729686000,1178000.0,680000.0,2228.54,183162.0,191637.0,493000.0,231000.0
1729686300,1177000.0,684000.0,1940.58,182470.0,192753.0,488000.0,236000.0
1729686600,1169000.0,677000.0,1554.66,177281.0,184719.0,487000.0,233000.0
1729686900,1165000.0,675000.0,1343.94,172960.0,182148.0,485000.0,230000.0
1729687200,1169000.0,670000.0,0.0,176778.0,183459.0,494000.0,240000.0
1729687500,1179000.0,671000.0,0.0,186978.0,194990.0,503000.0,252000.0
1729687800,1166000.0,670000.0,0.0,175555.0,182047.0,491000.0,239000.0
1729688100,1172000.0,664000.0,0.0,177778.0,186258.0,503000.0,248000.0
1729688400,1158000.0,662000.0,0.0,166545.0,173265.0,491000.0,234000.0
1729688700,1165000.0,666000.0,0.0,171218.0,178953.0,494000.0,243000.0
1729689000,1171000.0,662000.0,0.0,179588.0,186268.0,504000.0,245000.0
1729689300,1164000.0,667000.0,0.0,170096.0,178656.0,492000.0,240000.0
1729689600,1161000.0,662000.0,0.0,168943.0,175690.0,494000.0,241000.0
1729689900,1173000.0,658000.0,0.0,180631.0,188629.0,510000.0,261000.0
1729690200,1161000.0,659000.0,0.0,168737.0,176297.0,498000.0,244000.0
1729690500,1154000.0,653000.0,0.0,160520.0,167818.0,496000.0,241000.0
1729690800,1156000.0,654000.0,0.0,163447.0,171340.0,497000.0,243000.0
1729691100,1152000.0,650000.0,0.0,158971.0,165477.0,498000.0,243000.0
1729691400,1147000.0,651000.0,0.0,154921.0,162798.0,491000.0,240000.0
1729691700,1144000.0,646000.0,0.0,151031.0,157409.0,493000.0,236000.0
1729692000,1133000.0,641000.0,0.0,139534.0,146902.0,488000.0,227000.0
1729692300,1128000.0,640000.0,0.0,138356.0,145163.0,484000.0,226000.0
1729692600,1134000.0,638000.0,0.0,142438.0,149626.0,491000.0,234000.0
1729692900,1129000.0,635000.0,0.0,137985.0,144004.0,490000.0,233000.0
1729693200,1133000.0,636000.0,0.0,140311.0,147045.0,492000.0,238000.0
1729693500,1125000.0,625000.0,0.0,133394.0,140681.0,494000.0,238000.0
1729693800,1129000.0,625000.0,0.0,137101.0,144583.0,500000.0,245000.0
1729694100,1134000.0,625000.0,0.0,144226.0,151880.0,505000.0,253000.0
1729694400,1147000.0,622000.0,0.0,156629.0,163462.0,520000.0,266000.0
1729694700,1152000.0,617000.0,0.0,161774.0,170022.0,530000.0,279000.0
1729695000,1151000.0,613000.0,0.0,159515.0,166246.0,534000.0,277000.0
1729695600,1170000.0,602000.0,0.0,178668.0,184943.0,564000.0,308000.0
1729695900,1157000.0,603000.0,0.0,168130.0,175644.0,549000.0,304000.0
1729696200,1154000.0,593000.0,0.0,168819.0,175100.0,556000.0,306000.0
1729696500,1158000.0,589000.0,0.0,169385.0,177177.0,564000.0,317000.0
1729696800,1156000.0,582000.0,0.0,169748.0,177866.0,569000.0,327000.0
1729697100,1152000.0,582000.0,0.0,164885.0,172619.0,565000.0,320000.0
1729697400,1160000.0,575000.0,0.0,176297.0,184032.0,580000.0,334000.0
1729697700,1155000.0,575000.0,0.0,167433.0,174940.0,575000.0,328000.0
1729698000,1149000.0,571000.0,0.0,162838.0,169847.0,573000.0,327000.0
1729698300,1151000.0,572000.0,0.0,162737.0,169846.0,574000.0,331000.0
1729698600,1143000.0,565000.0,0.0,158382.0,164076.0,573000.0,326000.0
1729698900,1156000.0,562000.0,0.0,170290.0,178204.0,590000.0,344000.0
1729699200,1164000.0,559000.0,0.0,176520.0,183924.0,599000.0,230000.0
1729699500,1160000.0,554000.0,0.0,175255.0,181966.0,601000.0,234000.0
1729699800,1169000.0,549000.0,0.0,183128.0,190152.0,615000.0,246000.0
1729700100,1166000.0,547000.0,0.0,177843.0,185651.0,615000.0,247000.0
1729700400,1158000.0,542000.0,0.0,171714.0,179267.0,611000.0,241000.0
1729700700,1162000.0,543000.0,0.0,174804.0,183160.0,615000.0,246000.0
1729701000,1175000.0,545000.0,0.0,190871.0,197321.0,625000.0,255000.0
1729701300,1178000.0,547000.0,0.0,189506.0,198211.0,627000.0,257000.0
1729701600,1177000.0,545000.0,0.0,191135.0,197793.0,628000.0,258000.0
1729701900,1172000.0,538000.0,0.0,186618.0,195139.0,629000.0,258000.0
1729702200,1164000.0,540000.0,0.0,181055.0,187717.0,619000.0,253000.0
1729702500,1180000.0,537000.0,0.0,194408.0,202887.0,638000.0,268000.0
1729702800,1180000.0,541000.0,0.0,196288.0,202970.0,634000.0,266000.0
1729703100,1181000.0,538000.0,0.0,192718.0,201107.0,638000.0,270000.0
1729703400,1192000.0,535000.0,0.0,203225.0,211964.0,652000.0,282000.0
1729703700,1181000.0,534000.0,0.0,190881.0,198012.0,642000.0,264000.0
1729704000,1163000.0,529000.0,0.0,173759.0,182736.0,629000.0,245000.0
1729704300,1180000.0,530000.0,0.0,195154.0,203030.0,645000.0,262000.0
1729704600,1175000.0,523000.0,0.0,190755.0,199239.0,648000.0,263000.0
1729704900,1178000.0,527000.0,0.0,192442.0,199404.0,647000.0,262000.0
1729705200,1181000.0,528000.0,0.0,192529.0,200629.0,648000.0,267000.0
1729705500,1183000.0,524000.0,0.0,195027.0,203292.0,654000.0,272000.0
1729705800,1180000.0,523000.0,0.0,191778.0,199906.0,652000.0,269000.0
1729706100,1182000.0,522000.0,0.0,192114.0,200155.0,654000.0,271000.0
1729706400,1178000.0,520000.0,0.0,191626.0,197744.0,653000.0,267000.0
1729706700,1167000.0,519000.0,0.0,178260.0,186192.0,643000.0,261000.0
1729707000,1176000.0,522000.0,0.0,189988.0,196959.0,649000.0,265000.0
1729707300,1172000.0,523000.0,0.0,186470.0,194187.0,645000.0,265000.0
1729707600,1168000.0,520000.0,0.0,179036.0,185362.0,644000.0,260000.0
1729707900,1178000.0,513000.0,0.0,191423.0,200483.0,660000.0,273000.0
1729708200,1165000.0,517000.0,0.0,178524.0,184510.0,644000.0,260000.0
1729708500,1165000.0,515000.0,0.0,177082.0,184452.0,645000.0,257000.0
1729708800,1173000.0,514000.0,0.0,185313.0,193147.0,655000.0,269000.0
1729709100,1174000.0,516000.0,0.0,187407.0,194458.0,654000.0,270000.0
1729709400,1180000.0,514000.0,0.0,193381.0,200436.0,662000.0,269000.0
1729709700,1178000.0,516000.0,0.0,190424.0,196815.0,658000.0,256000.0
1729710000,1178000.0,514000.0,0.0,189625.0,198144.0,660000.0,258000.0
1729710300,1176000.0,514000.0,0.0,190051.0,196108.0,657000.0,254000.0
1729710600,1176000.0,515000.0,0.0,187935.0,195896.0,656000.0,252000.0
1729710900,1173000.0,516000.0,0.0,187033.0,193572.0,652000.0,250000.0
1729711200,1176000.0,519000.0,0.0,186264.0,194920.0,653000.0,250000.0
1729711500,1178000.0,518000.0,0.0,190313.0,197741.0,655000.0,252000.0
1729711800,1182000.0,518000.0,0.0,193031.0,201026.0,659000.0,258000.0
