ts,하루전가격(원/kWh)
1730109600,157.54
1730113200,156.83
1730116800,156.65
1730120400,156.65
1730124000,116.6
1730127600,153.59
1730131200,152.1
1730134800,105.0
1730138400,152.73
1730142000,91.0
1730145600,92.0
1730149200,105.0
1730152800,152.72
1730156400,106.0
1730160000,152.51
1730163600,151.81
1730167200,151.67
1730170800,158.52
1730174400,155.47
1730178000,155.84
1730181600,156.62
1730185200,155.84
1730188800,155.72
1730192400,156.88
1730196000,138.0
1730199600,133.0
1730203200,133.0
1730206800,106.0
1730210400,99.0
1730214000,99.0
1730217600,101.81
1730221200,76.9
1730224800,77.3
1730228400,78.08
1730232000,99.38
1730235600,87.14
1730239200,100.42
1730242800,109.13
1730246400,139.31
1730250000,117.02
1730253600,116.97
1730257200,109.93
1730260800,100.4
1730264400,100.58
1730268000,110.68
1730271600,109.06
1730275200,116.86
1730278800,117.02
1730282400,117.12
1730286000,116.32
1730289600,117.33
1730293200,100.89
1730296800,116.03
1730300400,111.96
1730304000,100.68
1730307600,92.24
1730311200,91.76
1730314800,91.77
1730318400,92.21
1730322000,99.85
1730325600,100.65
1730329200,105.16
1730332800,139.28
1730336400,139.33
1730340000,140.45
1730343600,133.11
1730347200,104.87
1730350800,128.34
1730354400,147.98
1730358000,152.55
1730361600,139.33
1730365200,135.29
1730368800,135.3
1730372400,135.3
1730376000,130.87
1730379600,132.91
1730383200,105.14
1730386800,105.14
1730390400,112.58
1730394000,103.44
1730397600,102.83
1730401200,91.75
1730404800,101.85
1730408400,103.45
1730412000,106.6
1730415600,131.3
1730419200,151.13
1730422800,150.53
1730426400,145.71
1730430000,135.22
1730433600,116.31
1730437200,113.82
1730440800,114.22
1730444400,113.0
1730448000,131.17
1730451600,131.26
1730455200,131.26
1730458800,107.08
1730462400,103.42
1730466000,103.42
1730469600,103.42
1730473200,103.42
1730476800,104.31
1730480400,103.05
1730484000,102.64
1730487600,87.43
1730491200,102.83
1730494800,103.18
1730498400,103.81
1730502000,104.3
1730505600,107.25
1730509200,107.89
1730512800,116.19
1730516400,148.12
1730520000,107.6
1730523600,107.6
1730527200,107.52
1730530800,107.68
1730534400,107.3
1730538000,107.95
1730541600,108.08
1730545200,108.14
1730548800,108.2
1730552400,106.76
1730556000,106.85
1730559600,104.76
1730563200,106.63
1730566800,92.24
1730570400,87.58
1730574000,87.11
1730577600,87.42
1730581200,92.45
1730584800,92.45
1730588400,92.7
1730592000,104.63
1730595600,104.63
1730599200,104.63
1730602800,104.0
1730606400,0.0
1730610000,87.3
1730613600,104.57
1730617200,104.57
1730620800,108.6
1730624400,109.96
1730628000,109.97
1730631600,109.97
1730635200,109.58
1730638800,108.46
1730642400,108.85
1730646000,105.6
1730649600,103.98
1730653200,87.53
1730656800,87.42
1730660400,86.95
1730664000,87.27
1730667600,102.49
1730671200,104.14
1730674800,115.78
1730678400,131.3
1730682000,149.56
1730685600,137.97
1730689200,134.96
1730692800,116.58
1730696400,116.58
1730700000,131.3
1730703600,131.4
1730707200,131.35
1730710800,127.26
1730714400,127.32
1730718000,116.78
1730721600,116.73
1730725200,106.73
1730728800,106.56
1730732400,104.12
1730736000,103.72
1730739600,92.74
1730743200,87.46
1730746800,87.49
1730750400,0.0
1730754000,0.0
1730757600,104.21
1730761200,106.62
1730764800,117.37
1730768400,136.94
1730772000,136.94
1730775600,0.0
1730779200,0.0
1730782800,0.0
1730786400,0.0
1730790000,136.87
1730793600,136.13
1730797200,131.98
1730800800,132.17
1730804400,127.56
1730808000,127.62
1730811600,107.46
1730815200,105.14
1730818800,104.95
1730822400,103.68
1730826000,87.6
1730829600,87.6
1730833200,87.42
1730836800,87.56
1730840400,92.08
1730844000,115.73
1730847600,116.58
1730851200,131.58
1730854800,0.0
1730858400,0.0
1730862000,-39.64
1730865600,-79.28
1730869200,-79.28
1730872800,0.0
1730876400,0.0
1730880000,117.26
1730883600,127.56
1730887200,117.52
1730890800,117.52
1730894400,117.53
1730898000,113.81
1730901600,113.61
1730905200,109.09
1730908800,103.65
1730912400,89.39
1730916000,89.39
1730919600,89.48
1730923200,89.48
1730926800,102.16
1730930400,114.48
1730934000,107.74
1730937600,117.84
1730941200,136.21
1730944800,126.43
1730948400,136.87
1730952000,116.13
1730955600,116.84
1730959200,116.84
1730962800,116.84
1730966400,151.02
1730970000,153.68
1730973600,117.44
1730977200,126.95
1730980800,114.94
1730984400,107.66
1730988000,111.71
1730991600,104.64
1730995200,110.09
1730998800,89.57
1731002400,89.57
1731006000,89.57
1731009600,89.57
1731013200,102.17
1731016800,111.71
1731020400,114.22
1731024000,117.51
1731027600,131.58
1731031200,137.88
1731034800,132.64
1731038400,132.64
1731042000,137.9
1731045600,148.44
1731049200,149.56
1731052800,137.92
1731056400,132.65
1731060000,117.17
1731063600,117.17
1731067200,116.73
1731070800,107.15
1731074400,117.44
1731078000,106.94
1731081600,113.22
1731085200,88.17
1731088800,87.58
1731092400,80.28
1731096000,80.28
1731099600,87.55
1731103200,88.34
1731106800,93.07
1731110400,93.07
1731114000,105.86
1731117600,105.84
1731121200,105.61
1731124800,105.82
1731128400,105.81
1731132000,104.82
1731135600,105.64
1731139200,105.25
1731142800,105.73
1731146400,105.85
1731150000,105.86
1731153600,104.28
1731157200,92.08
1731160800,92.29
1731164400,92.29
1731168000,98.1
1731171600,78.4
1731175200,78.4
1731178800,78.4
1731182400,78.4
1731186000,78.4
1731189600,80.24
1731193200,90.77
1731196800,90.68
1731200400,92.45
1731204000,92.24
1731207600,114.99
1731211200,92.0
1731214800,114.27
1731218400,92.0
1731222000,114.6
1731225600,114.99
1731229200,114.99
1731232800,214.27
1731236400,114.99
1731240000,114.99
1731243600,114.94
1731247200,92.24
1731250800,92.45
